stop_id,stop_name,city,route_type,routes_serviced,flood_risk_category,access_to_hospital_category,job_access_category,worker_vulnerability_category,latitude,longitude
550179,101 AV /VAN WYCK EXP,nyc,Bus,['Q08'],2,1,1,0,40.693838,-73.812228
552398,LIBERTY AV /134 ST,nyc,Bus,['Q112'],2,1,0,0,40.69157,-73.812541
503674,168 ST /JAMAICA AV,nyc,Bus,"['Q41', 'Q09', 'Q08', 'Q06', 'Q17']",1,0,2,1,40.706567,-73.792501
982152,165 ST TERM/MTA BUS STAND,nyc,Bus,"['Q41', 'Q09', 'Q08', 'Q06']",1,0,2,1,40.707223,-73.795441
551528,165 ST TERM/Q41 STAND,nyc,Bus,['Q41'],1,0,2,1,40.707002,-73.795473
550243,165 ST TERM /Q9 STAND,nyc,Bus,['Q09'],1,0,2,1,40.707047,-73.795506
550183,165 ST TERM /Q8 STAND,nyc,Bus,['Q08'],1,0,2,1,40.707149,-73.795569
550034,165 ST TERM/Q6 STAND,nyc,Bus,['Q06'],1,0,2,1,40.707092,-73.795537
503185,JAMAICA AV /169 ST,nyc,Bus,"['Q110', 'Q54', 'Q56']",1,0,2,1,40.706587,-73.792264
504204,ATLANTIC AV/VAN WYCK EXP W,nyc,Bus,"['Q41', 'Q24']",2,2,1,0,40.697213,-73.814699
503667,ATLANTIC AV / 133  ST,nyc,Bus,['Q41'],2,2,1,0,40.696548,-73.816989
503666,ATLANTIC AV / 130 ST,nyc,Bus,"['Q41', 'Q24']",2,1,1,0,40.695962,-73.819052
551517,127 ST/101 AV,nyc,Bus,['Q41'],1,1,0,0,40.691986,-73.819297
550189,101 AV /133 ST,nyc,Bus,['Q08'],1,1,1,0,40.693237,-73.814696
550190,101 AV /131 ST,nyc,Bus,['Q08'],1,1,0,0,40.692772,-73.816393
550191,101 AV /127 ST,nyc,Bus,['Q08'],1,1,0,0,40.691918,-73.819331
550192,101 AV /124 ST,nyc,Bus,['Q08'],1,0,1,0,40.691156,-73.822036
550193,101 AV /121 ST,nyc,Bus,['Q08'],1,0,1,0,40.690571,-73.824097
550137,ROCKAWAY BL /LIBERTY AV,nyc,Bus,"['Q41', 'Q07', 'Q112']",2,0,1,1,40.680473,-73.842372
982090,ROCKAWAY BL /LIBERTY AV,nyc,Bus,['Q112'],2,0,1,1,40.680417,-73.842272
550270,82 ST/ASTORIA BL,nyc,Bus,['Q33'],2,0,1,1,40.764727,-73.88714
551133,82 ST/25 AV,nyc,Bus,['Q33'],2,0,1,1,40.762959,-73.886817
550724,82 ST/ASTORIA BL,nyc,Bus,"['Q47', 'Q69']",2,0,1,1,40.765277,-73.887312
551595,80 ST/ASTORIA BL,nyc,Bus,['Q47'],2,0,1,1,40.765178,-73.889116
551602,80 ST/25 AV,nyc,Bus,['Q47'],2,0,1,1,40.762983,-73.888693
982082,78 ST/25 AV,nyc,Bus,['Q47'],2,0,1,1,40.76256,-73.890523
551589,77 ST/30 AV,nyc,Bus,['Q47'],2,0,1,1,40.760893,-73.890965
551591,77 ST/25 AV,nyc,Bus,['Q47'],2,0,1,1,40.762462,-73.89128
551593,25 AV/79 ST,nyc,Bus,['Q47'],2,0,1,1,40.762701,-73.889314
551594,80 ST/ASTORIA BL,nyc,Bus,['Q47'],2,0,1,1,40.76517,-73.88892
553412,BULOVA CORPORATE CE/BULOVA CORPORATE CT,nyc,Bus,['Q47'],2,0,1,1,40.763763,-73.892877
982173,ASTORIA BL/82 ST,nyc,Bus,['Q69'],2,0,1,1,40.765273,-73.887572
550624,ASTORIA BL/82 ST,nyc,Bus,['Q69'],2,0,1,1,40.765317,-73.887672
550621,ASTORIA BL/80 ST,nyc,Bus,"['Q69', 'Q19']",2,0,1,1,40.765485,-73.888882
504423,ASTORIA BL/77 ST,nyc,Bus,"['Q19', 'M60+']",2,0,1,1,40.765571,-73.891607
550620,ASTORIA BL/80 ST,nyc,Bus,['Q19'],2,0,1,1,40.76518,-73.889228
551134,82 ST/30 AV,nyc,Bus,['Q33'],0,0,1,1,40.761121,-73.886493
551135,82 ST/31 AV,nyc,Bus,['Q33'],0,0,1,1,40.759387,-73.886154
